device,x,y,seconds
cpu,64,64,0.000214
gpu,64,64,0.000312
cpu,64,128,0.000428
gpu,64,128,0.000301
cpu,64,256,0.000893
gpu,64,256,0.000336
cpu,64,512,0.001762
gpu,64,512,0.000322
cpu,64,1024,0.003497
gpu,64,1024,0.000472
cpu,64,2048,0.006886
gpu,64,2048,0.00055
cpu,64,4096,0.013895
gpu,64,4096,0.00087
cpu,64,8192,0.027555
gpu,64,8192,0.001348
cpu,64,16384,0.055077
gpu,64,16384,0.002294
cpu,128,64,0.000427
gpu,128,64,0.000307
cpu,128,128,0.000854
gpu,128,128,0.00035
cpu,128,256,0.001834
gpu,128,256,0.000398
cpu,128,512,0.00345
gpu,128,512,0.000415
cpu,128,1024,0.006894
gpu,128,1024,0.000535
cpu,128,2048,0.013782
gpu,128,2048,0.000843
cpu,128,4096,0.027532
gpu,128,4096,0.001323
cpu,128,8192,0.05502
gpu,128,8192,0.002326
cpu,128,16384,0.109934
gpu,128,16384,0.004993
cpu,256,64,0.001598
gpu,256,64,0.000405
cpu,256,128,0.001741
gpu,256,128,0.000368
cpu,256,256,0.003435
gpu,256,256,0.00047
cpu,256,512,0.006823
gpu,256,512,0.000564
cpu,256,1024,0.013846
gpu,256,1024,0.000764
cpu,256,2048,0.028062
gpu,256,2048,0.001337
cpu,256,4096,0.055542
gpu,256,4096,0.002299
cpu,256,8192,0.110663
gpu,256,8192,0.004993
cpu,256,16384,0.221977
gpu,256,16384,0.010059
cpu,512,64,0.001786
gpu,512,64,0.000337
cpu,512,128,0.003482
gpu,512,128,0.000473
cpu,512,256,0.007006
gpu,512,256,0.000536
cpu,512,512,0.013687
gpu,512,512,0.000761
cpu,512,1024,0.027797
gpu,512,1024,0.001157
cpu,512,2048,0.056393
gpu,512,2048,0.0023
cpu,512,4096,0.110579
gpu,512,4096,0.004209
cpu,512,8192,0.221655
gpu,512,8192,0.009317
cpu,512,16384,0.441099
gpu,512,16384,0.021424
cpu,1024,64,0.003472
gpu,1024,64,0.000433
cpu,1024,128,0.006926
gpu,1024,128,0.000536
cpu,1024,256,0.013778
gpu,1024,256,0.000747
cpu,1024,512,0.027598
gpu,1024,512,0.001175
cpu,1024,1024,0.055761
gpu,1024,1024,0.001997
cpu,1024,2048,0.110665
gpu,1024,2048,0.004188
cpu,1024,4096,0.221402
gpu,1024,4096,0.008146
cpu,1024,8192,0.440897
gpu,1024,8192,0.018871
cpu,1024,16384,0.883232
gpu,1024,16384,0.03988
cpu,2048,64,0.006871
gpu,2048,64,0.000468
cpu,2048,128,0.013764
gpu,2048,128,0.000751
cpu,2048,256,0.027522
gpu,2048,256,0.001142
cpu,2048,512,0.055032
gpu,2048,512,0.002008
cpu,2048,1024,0.109738
gpu,2048,1024,0.003592
cpu,2048,2048,0.22126
gpu,2048,2048,0.008073
cpu,2048,4096,0.441065
gpu,2048,4096,0.018937
cpu,2048,8192,0.884123
gpu,2048,8192,0.038441
cpu,2048,16384,1.76754
gpu,2048,16384,0.079358
cpu,4096,64,0.013798
gpu,4096,64,0.000663
cpu,4096,128,0.027534
gpu,4096,128,0.001138
cpu,4096,256,0.054878
gpu,4096,256,0.001913
cpu,4096,512,0.110099
gpu,4096,512,0.003619
cpu,4096,1024,0.22037
gpu,4096,1024,0.00686
cpu,4096,2048,0.441407
gpu,4096,2048,0.018944
cpu,4096,4096,0.886419
gpu,4096,4096,0.038637
cpu,4096,8192,1.76637
gpu,4096,8192,0.079807
cpu,4096,16384,4.34309
gpu,4096,16384,0.159824
cpu,8192,64,0.027503
gpu,8192,64,0.000965
cpu,8192,128,0.0557
gpu,8192,128,0.002242
cpu,8192,256,0.110062
gpu,8192,256,0.004258
cpu,8192,512,0.220308
gpu,8192,512,0.010472
cpu,8192,1024,0.440788
gpu,8192,1024,0.027905
cpu,8192,2048,0.881473
gpu,8192,2048,0.055046
cpu,8192,4096,1.7729
gpu,8192,4096,0.118514
cpu,8192,8192,4.34051
gpu,8192,8192,0.226811
cpu,8192,16384,8.67704
gpu,8192,16384,0.430962
cpu,16384,64,0.056011
gpu,16384,64,0.002016
cpu,16384,128,0.110314
gpu,16384,128,0.004291
cpu,16384,256,0.220477
gpu,16384,256,0.00912
cpu,16384,512,0.439055
gpu,16384,512,0.030349
cpu,16384,1024,0.888822
gpu,16384,1024,0.07003
cpu,16384,2048,2.57125
gpu,16384,2048,0.140983
cpu,16384,4096,4.33835
gpu,16384,4096,0.287167
cpu,16384,8192,8.02449
gpu,16384,8192,0.560063
cpu,16384,16384,14.9549
gpu,16384,16384,1.08893
